#Datum: 21.01.2016 16:19:44
#Quelle: methyl_linoleat

#Daten:
cm-1;%T
605;89,5032653808594
610;91,7424087524414
615;93,9815444946289
620;96,2206802368164
625;98,1399459838867
630;100,059211730957
635;101,338714599609
640;102,938102722168
645;104,537490844727
650;105,497116088867
655;106,136871337891
660;106,776626586914
665;106,776626586914
670;107,096504211426
675;106,776626586914
680;106,456748962402
685;106,136871337891
690;105,816993713379
695;105,177238464355
700;104,857360839844
705;104,537490844727
710;104,217613220215
715;103,577850341797
720;102,618225097656
725;102,938102722168
730;104,857360839844
735;107,416381835938
740;110,935020446777
745;114,133796691895
750;116,372940063477
755;117,332565307617
760;118,292190551758
765;119,571701049805
770;119,891578674316
775;120,851211547852
780;122,130722045898
785;122,450592041016
790;123,090347290039
795;123,730110168457
800;124,369857788086
805;124,689735412598
810;124,689735412598
815;124,369857788086
820;124,369857788086
825;123,410224914551
830;122,770469665527
835;122,130722045898
840;120,851211547852
845;121,490966796875
850;122,130722045898
855;122,770469665527
860;122,770469665527
865;122,770469665527
870;122,770469665527
875;122,770469665527
880;122,770469665527
885;123,090347290039
890;124,689735412598
895;124,689735412598
900;124,049980163574
905;123,090347290039
910;121,810844421387
915;121,171089172363
920;122,450592041016
925;124,049980163574
930;125,009613037109
935;125,009613037109
940;124,369857788086
945;123,410224914551
950;123,090347290039
955;122,770469665527
960;122,770469665527
965;122,130722045898
970;121,171089172363
975;120,53133392334
980;119,891578674316
985;118,931953430176
990;118,292190551758
995;117,652442932129
1000;117,652442932129
1005;116,692810058594
1010;115,413299560547
1015;114,133796691895
1020;114,133796691895
1025;114,773551940918
1030;116,05305480957
1035;116,692810058594
1040;116,692810058594
1045;117,012687683105
1050;117,012687683105
1055;117,012687683105
1060;117,652442932129
1065;117,972312927246
1070;118,292190551758
1075;117,972312927246
1080;117,012687683105
1085;115,733177185059
1090;114,453674316406
1095;113,174163818359
1100;112,214530944824
1105;112,534408569336
1110;114,133796691895
1115;115,093421936035
1120;113,494041442871
1125;113,494041442871
1130;112,534408569336
1135;110,935020446777
1140;108,69588470459
1145;107,416381835938
1150;105,816993713379
1155;101,658592224121
1160;96,8604354858398
1165;91,4225311279297
1170;87,9038848876953
1175;87,5840072631836
1180;91,4225311279297
1185;95,2610549926758
1190;94,3014221191406
1195;89,8231430053711
1200;90,4628982543945
1205;93,6616668701172
1210;95,9008102416992
1215;98,4598236083984
1220;100,379081726074
1225;101,658592224121
1230;101,338714599609
1235;100,698959350586
1240;98,4598236083984
1245;97,1803131103516
1250;97,5001907348633
1255;99,7393341064453
1260;102,298347473145
1265;103,577850341797
1270;104,857360839844
1275;106,456748962402
1280;107,096504211426
1285;108,376007080078
1290;110,615142822266
1295;111,254905700684
1300;111,254905700684
1305;111,574783325195
1310;111,894660949707
1315;111,574783325195
1320;110,935020446777
1325;111,894660949707
1330;113,174163818359
1335;113,813919067383
1340;113,813919067383
1345;111,894660949707
1350;110,295272827148
1355;109,015769958496
1360;107,736251831055
1365;107,416381835938
1370;109,015769958496
1375;110,295272827148
1380;110,295272827148
1385;115,733177185059
1390;118,292190551758
1395;116,372940063477
1400;114,773551940918
1405;116,372940063477
1410;117,652442932129
1415;115,733177185059
1420;111,894660949707
1425;109,975395202637
1430;104,857360839844
1435;93,6616668701172
1440;93,0219192504883
1445;97,820068359375
1450;98,7797012329102
1455;97,5001907348633
1460;95,2610549926758
1465;95,5809326171875
1470;101,018836975098
1475;114,453674316406
1480;118,612075805664
1485;120,851211547852
1490;122,130722045898
1495;122,770469665527
1500;123,090347290039
1505;123,410224914551
1510;124,049980163574
1515;124,369857788086
1520;124,689735412598
1525;125,329490661621
1530;125,009613037109
1535;125,009613037109
1540;125,009613037109
1545;125,329490661621
1550;125,329490661621
1555;125,329490661621
1560;125,649360656738
1565;125,329490661621
1570;125,329490661621
1575;125,009613037109
1580;125,009613037109
1585;125,009613037109
1590;125,009613037109
1595;125,009613037109
1600;124,689735412598
1605;125,009613037109
1610;125,009613037109
1615;124,689735412598
1620;124,689735412598
1625;124,369857788086
1630;123,730110168457
1635;123,410224914551
1640;123,090347290039
1645;121,490966796875
1650;120,851211547852
1655;120,851211547852
1660;121,171089172363
1665;121,810844421387
1670;122,450592041016
1675;122,450592041016
1680;121,810844421387
1685;121,171089172363
1690;120,53133392334
1695;119,571701049805
1700;117,652442932129
1705;117,012687683105
1710;116,372940063477
1715;115,093421936035
1720;111,574783325195
1725;107,736251831055
1730;98,7797012329102
1735;83,1057281494141
1740;69,0311431884766
1745;61,6739730834961
1750;67,7516326904297
1755;83,1057281494141
1760;98,1399459838867
1765;107,096504211426
1770;112,854286193848
1775;116,372940063477
1780;118,931953430176
1785;120,851211547852
1790;121,810844421387
1795;122,770469665527
1800;123,090347290039
1805;123,730110168457
1810;124,689735412598
1815;125,329490661621
1820;125,329490661621
1825;125,649360656738
1830;126,289123535156
1835;126,609001159668
1840;126,289123535156
1845;126,609001159668
1850;126,609001159668
1855;126,609001159668
1860;126,609001159668
1865;126,609001159668
1870;126,289123535156
1875;126,609001159668
1880;126,609001159668
1885;126,609001159668
1890;126,609001159668
1895;126,609001159668
1900;126,928871154785
1905;126,609001159668
1910;126,609001159668
1915;126,609001159668
1920;126,928871154785
1925;126,609001159668
1930;126,609001159668
1935;126,609001159668
1940;126,609001159668
1945;126,609001159668
1950;126,609001159668
1955;126,609001159668
1960;126,928871154785
1965;126,609001159668
1970;126,609001159668
1975;126,609001159668
1980;126,609001159668
1985;126,928871154785
1990;126,928871154785
1995;126,609001159668
2000;127,248748779297
2005;127,248748779297
2010;127,248748779297
2015;127,248748779297
2020;127,248748779297
2025;127,248748779297
2030;127,248748779297
2035;127,248748779297
2040;126,609001159668
2045;126,928871154785
2050;126,609001159668
2055;126,928871154785
2060;126,928871154785
2065;126,928871154785
2070;126,928871154785
2075;126,609001159668
2080;126,609001159668
2085;126,609001159668
2090;126,928871154785
2095;126,609001159668
2100;126,609001159668
2105;126,609001159668
2110;127,248748779297
2115;127,248748779297
2120;127,248748779297
2125;127,248748779297
2130;126,928871154785
2135;126,928871154785
2140;127,248748779297
2145;127,248748779297
2150;126,928871154785
2155;126,609001159668
2160;126,609001159668
2165;126,609001159668
2170;126,609001159668
2175;126,609001159668
2180;126,609001159668
2185;126,609001159668
2190;126,609001159668
2195;126,609001159668
2200;126,609001159668
2205;126,609001159668
2210;126,609001159668
2215;126,609001159668
2220;126,609001159668
2225;126,609001159668
2230;126,609001159668
2235;126,609001159668
2240;126,609001159668
2245;126,609001159668
2250;126,289123535156
2255;126,289123535156
2260;126,609001159668
2265;126,289123535156
2270;126,289123535156
2275;126,289123535156
2280;126,289123535156
2285;125,969245910645
2290;125,969245910645
2295;126,289123535156
2300;126,289123535156
2305;125,969245910645
2310;125,969245910645
2315;125,969245910645
2320;125,969245910645
2325;125,969245910645
2330;125,969245910645
2335;126,289123535156
2340;125,969245910645
2345;125,649360656738
2350;125,969245910645
2355;125,969245910645
2360;125,969245910645
2365;125,969245910645
2370;125,649360656738
2375;125,649360656738
2380;125,649360656738
2385;125,649360656738
2390;125,649360656738
2395;125,649360656738
2400;125,649360656738
2405;125,649360656738
2410;125,649360656738
2415;125,009613037109
2420;125,329490661621
2425;125,329490661621
2430;125,329490661621
2435;125,329490661621
2440;125,329490661621
2445;125,009613037109
2450;125,009613037109
2455;125,009613037109
2460;125,009613037109
2465;124,689735412598
2470;124,689735412598
2475;125,009613037109
2480;125,009613037109
2485;125,009613037109
2490;125,009613037109
2495;125,009613037109
2500;124,689735412598
2505;124,689735412598
2510;124,689735412598
2515;124,049980163574
2520;124,049980163574
2525;124,049980163574
2530;124,049980163574
2535;124,049980163574
2540;124,049980163574
2545;124,049980163574
2550;124,049980163574
2555;124,049980163574
2560;124,049980163574
2565;123,730110168457
2570;123,730110168457
2575;123,410224914551
2580;123,730110168457
2585;123,410224914551
2590;123,090347290039
2595;123,090347290039
2600;123,090347290039
2605;123,090347290039
2610;123,090347290039
2615;122,770469665527
2620;123,090347290039
2625;122,770469665527
2630;122,770469665527
2635;122,130722045898
2640;122,770469665527
2645;122,450592041016
2650;122,450592041016
2655;122,130722045898
2660;122,130722045898
2665;122,130722045898
2670;121,810844421387
2675;122,130722045898
2680;121,810844421387
2685;122,130722045898
2690;121,810844421387
2695;122,130722045898
2700;121,810844421387
2705;121,810844421387
2710;122,130722045898
2715;121,810844421387
2720;121,490966796875
2725;121,810844421387
2730;121,490966796875
2735;121,490966796875
2740;121,490966796875
2745;121,490966796875
2750;121,490966796875
2755;121,171089172363
2760;120,851211547852
2765;120,53133392334
2770;120,53133392334
2775;120,53133392334
2780;120,211456298828
2785;119,251831054688
2790;118,931953430176
2795;118,292190551758
2800;117,652442932129
2805;117,012687683105
2810;116,05305480957
2815;114,453674316406
2820;112,534408569336
2825;109,975395202637
2830;106,136871337891
2835;100,698959350586
2840;94,3014221191406
2845;85,984619140625
2850;77,6678161621094
2855;71,9100341796875
2860;72,8696670532226
2865;78,6274490356445
2870;83,7454833984375
2875;85,984619140625
2880;88,8635101318359
2885;90,1430206298828
2890;88,5436401367188
2895;85,0249862670898
2900;81,1864700317383
2905;77,0280685424805
2910;72,5497894287109
2915;67,431755065918
2920;63,2733573913574
2925;61,3540954589844
2930;61,0342178344726
2935;63,2733573913574
2940;67,1118774414062
2945;70,6305236816406
2950;72,5497894287109
2955;73,1895446777344
2960;75,4286804199219
2965;80,5467147827148
2970;87,9038848876953
2975;94,6212997436524
2980;99,7393341064453
2985;102,618225097656
2990;103,577850341797
2995;101,978469848633
3000;98,7797012329102
3005;93,0219192504883
3010;88,8635101318359
3015;91,7424087524414
3020;99,4194564819336
3025;106,136871337891
3030;110,935020446777
3035;113,813919067383
3040;115,413299560547
3045;117,012687683105
3050;117,332565307617
3055;117,972312927246
3060;117,972312927246
3065;117,972312927246
3070;118,612075805664
3075;118,931953430176
3080;119,571701049805
3085;119,571701049805
3090;119,891578674316
3095;120,211456298828
3100;120,211456298828
3105;120,211456298828
3110;120,53133392334
3115;120,53133392334
3120;120,211456298828
3125;120,53133392334
3130;120,53133392334
3135;120,53133392334
3140;120,53133392334
3145;120,851211547852
3150;120,53133392334
3155;120,53133392334
3160;120,53133392334
3165;120,851211547852
3170;120,53133392334
3175;120,53133392334
3180;120,53133392334
3185;120,53133392334
3190;120,851211547852
3195;120,53133392334
3200;120,53133392334
3205;120,53133392334
3210;120,53133392334
3215;120,53133392334
3220;120,53133392334
3225;120,53133392334
3230;120,53133392334
3235;120,53133392334
3240;120,53133392334
3245;120,53133392334
3250;120,53133392334
3255;120,53133392334
3260;121,171089172363
3265;120,851211547852
3270;120,53133392334
3275;120,53133392334
3280;120,53133392334
3285;120,53133392334
3290;120,211456298828
3295;120,53133392334
3300;120,211456298828
3305;120,53133392334
3310;120,211456298828
3315;120,211456298828
3320;120,53133392334
3325;120,53133392334
3330;120,211456298828
3335;120,211456298828
3340;120,211456298828
3345;120,211456298828
3350;120,211456298828
3355;120,211456298828
3360;120,211456298828
3365;120,211456298828
3370;120,211456298828
3375;120,211456298828
3380;120,211456298828
3385;120,211456298828
3390;120,211456298828
3395;120,53133392334
3400;120,211456298828
3405;120,211456298828
3410;120,53133392334
3415;120,211456298828
3420;120,211456298828
3425;120,211456298828
3430;120,211456298828
3435;120,53133392334
3440;120,53133392334
3445;120,53133392334
3450;120,53133392334
3455;120,211456298828
3460;119,891578674316
3465;120,211456298828
3470;120,211456298828
3475;119,891578674316
3480;120,211456298828
3485;120,53133392334
3490;121,171089172363
3495;121,490966796875
3500;121,490966796875
3505;121,810844421387
3510;121,810844421387
3515;121,490966796875
3520;121,490966796875
3525;121,810844421387
3530;121,810844421387
3535;122,130722045898
3540;122,130722045898
3545;121,810844421387
3550;121,810844421387
3555;121,810844421387
3560;122,130722045898
3565;122,130722045898
