#Datum: 21.01.2016 16:19:44
#Quelle: polyethylen

#Daten:
cm-1;%T
630;90,0484390258789
635;92,3275680541992
640;92,7074203491211
645;92,7074203491211
650;93,087272644043
655;92,3275680541992
660;92,3275680541992
665;92,7074203491211
670;92,3275680541992
675;91,9477081298828
680;91,9477081298828
685;92,3275680541992
690;91,5678634643555
695;90,4282989501953
700;89,2887344360352
705;86,2499084472656
710;78,6528244018555
715;58,1407165527344
720;48,6443672180176
725;60,0399856567383
730;61,9392547607422
735;78,6528244018555
740;94,606689453125
745;95,3663940429688
750;96,5059585571289
755;96,8858184814453
760;96,8858184814453
765;96,5059585571289
770;96,8858184814453
775;97,2656631469726
780;98,0253753662109
785;98,0253753662109
790;97,6455230712891
795;97,6455230712891
800;98,0253753662109
805;98,4052276611328
810;98,7850799560547
815;98,7850799560547
820;98,0253753662109
825;96,8858184814453
830;96,126106262207
835;96,8858184814453
840;97,6455230712891
845;98,0253753662109
850;98,0253753662109
855;98,4052276611328
860;98,0253753662109
865;97,6455230712891
870;97,2656631469726
875;97,6455230712891
880;97,6455230712891
885;96,8858184814453
890;96,8858184814453
895;96,8858184814453
900;96,8858184814453
905;95,7462463378906
910;95,3663940429688
915;96,5059585571289
920;97,2656631469726
925;97,2656631469726
930;97,2656631469726
935;97,6455230712891
940;98,0253753662109
945;98,4052276611328
950;98,4052276611328
955;98,0253753662109
960;97,6455230712891
965;98,0253753662109
970;98,0253753662109
975;98,0253753662109
980;98,0253753662109
985;97,6455230712891
990;97,2656631469726
995;97,6455230712891
1000;98,0253753662109
1005;98,4052276611328
1010;98,7850799560547
1015;98,7850799560547
1020;98,4052276611328
1025;98,0253753662109
1030;98,0253753662109
1035;98,0253753662109
1040;97,6455230712891
1045;97,6455230712891
1050;97,2656631469726
1055;97,6455230712891
1060;97,6455230712891
1065;97,6455230712891
1070;98,0253753662109
1075;98,0253753662109
1080;97,6455230712891
1085;97,6455230712891
1090;98,0253753662109
1095;98,0253753662109
1100;98,0253753662109
1105;98,0253753662109
1110;97,6455230712891
1115;97,2656631469726
1120;96,8858184814453
1125;96,8858184814453
1130;97,2656631469726
1135;96,8858184814453
1140;96,5059585571289
1145;96,5059585571289
1150;96,5059585571289
1155;96,5059585571289
1160;96,126106262207
1165;96,5059585571289
1170;96,5059585571289
1175;96,5059585571289
1180;96,5059585571289
1185;96,126106262207
1190;96,126106262207
1195;96,126106262207
1200;95,7462463378906
1205;95,7462463378906
1210;95,7462463378906
1215;95,3663940429688
