#Datum: 21.01.2016 16:19:44
#Quelle: pulver_b

#Daten:
#cm-1 %T
515 43.816376125482
516 44.1042652855362
517 44.4509377735935
518 46.2168652538046
519 49.3758824668244
520 53.0067267038323
521 56.1335886474728
522 58.2606240578839
523 59.4826494703558
524 60.22069051882
525 60.8522640102089
526 61.636965769557
527 62.4021029570012
528 63.2158307769619
529 63.9889891129388
530 64.476902836874
531 64.3562193419869
532 63.4809759451248
533 62.0715532530259
534 60.611876855883
535 59.5233442249413
536 58.8751690528141
537 58.351763675232
538 57.5069643021488
539 56.0982023469492
540 54.2443268614674
541 52.3546196575619
542 50.9636681491858
543 50.5735015944269
544 51.5016035428289
545 53.7371282396129
546 56.881170920007
547 60.2522716355006
548 63.1464258831122
549 65.123464636317
550 66.1372505642467
551 66.4268776922047
552 66.2866695978855
553 65.9064525217552
554 65.349068197785
555 64.5947893082753
556 63.5817269267656
557 62.2510967812624
558 60.6252993154459
559 58.8782033373052
560 57.3160829852472
561 56.2566583066138
562 55.8901387099904
563 56.2179297537326
564 57.097731834272
565 58.3432901605291
566 59.7958235694884
567 61.3300902247211
568 62.8306640649518
569 64.1898773201656
570 65.3344559800206
571 66.2469090412084
572 66.9570248820907
573 67.5120985245786
574 67.9477161099931
575 68.2719650978896
576 68.4674807373399
577 68.5110682821901
578 68.3972087857927
579 68.1445860238547
580 67.7828845600059
581 67.341107324081
582 66.8515863675841
583 66.3556974486618
584 65.8885257486207
585 65.4454615429842
586 64.9607151764646
587 64.3232969313347
588 63.424989831459
589 62.2056415328543
590 60.6644904131292
591 58.834359651684
592 56.7457895589409
593 54.4214056704188
594 51.9243227541588
595 49.4316097683966
596 47.2626450404886
597 45.8162922876112
598 45.4402491955492
599 46.3041527773579
600 48.3425700247727
601 51.2909044070153
602 54.7836965204262
603 58.4528039362735
604 61.9822364491066
605 65.1290853810736
606 67.7437138552256
607 69.791021604048
608 71.3401779437318
609 72.5076330030566
610 73.3896549621776
611 74.0374154596349
612 74.484462940232
613 74.7815987270778
614 74.9949155737985
615 75.1754791525951
616 75.3434394092044
617 75.5010638874294
618 75.6465928022055
619 75.7674291799442
620 75.833498071556
621 75.8178054445303
622 75.7280221348292
623 75.609938689008
624 75.5138704636158
625 75.4565942079892
626 75.414117951978
627 75.3452897088642
628 75.2174334283771
629 75.0135548507007
630 74.7250761643135
631 74.3439179000944
632 73.8618273212109
633 73.2750236365032
634 72.5861952386043
635 71.792971054753
636 70.860277671757
637 69.6962702960677
638 68.1705692172638
639 66.1992937096591
640 63.8644869468139
641 61.4775460521064
642 59.5041161750182
643 58.3680274349242
644 58.2708481210551
645 59.1636775831175
646 60.8591525577685
647 63.1391293703284
648 65.7545583124535
649 68.3755322565709
650 70.6277647627685
651 72.2321261669269
652 73.1066735819872
653 73.3362062006745
654 73.0730385523944
655 72.460075920477
656 71.5898254636638
657 70.4873760459688
658 69.1246621536174
659 67.4465897354841
660 65.3675672758638
661 62.7767904236582
662 59.65060004654
