QZ	r.rf
0.00711	2.64206E6
0.00747	2.75116E6
0.00782	2.67821E6
0.00818	2.70916E6
0.00854	2.52925E6
0.00889	2.5087E6
0.00925	2.39687E6
0.0096	2.37652E6
0.00996	2.52749E6
0.01031	2.39702E6
0.01067	2.34444E6
0.01102	2.54385E6
0.01138	2.33327E6
0.01174	2.39271E6
0.01209	2.39529E6
0.01245	2.28132E6
0.0128	2.31116E6
0.01316	2.32311E6
0.01351	2.28651E6
0.01387	2.38351E6
0.01423	2.31699E6
0.01458	2.26438E6
0.01494	2.33683E6
0.01529	2.48328E6
0.01565	2.34152E6
0.016	2.32641E6
0.01636	2.34059E6
0.01671	2.28165E6
0.01707	2.29458E6
0.01743	2.35188E6
0.01778	2.22096E6
0.01814	2.26222E6
0.01849	2.29364E6
0.01885	2.27918E6
0.0192	2.21312E6
0.01956	2.19918E6
0.01992	2.18899E6
0.02027	2.23509E6
0.02063	2.34848E6
0.02098	2.12498E6
0.02134	2.27522E6
0.02169	2.17203E6
0.02205	2.19825E6
0.0224	2.10371E6
0.02276	2.13734E6
0.02312	2.0562E6
0.02347	2.01398E6
0.02383	2.01307E6
0.02418	1.95566E6
0.02454	1.97134E6
0.02489	1.87771E6
0.02525	1.98534E6
0.02561	1.7891E6
0.02596	1.84966E6
0.02632	1.7808E6
0.02667	1.77874E6
0.02703	1.75538E6
0.02738	1.65147E6
0.02774	1.71869E6
0.02809	1.71548E6
0.02845	1.62143E6
0.02881	1.59364E6
0.02916	1.70675E6
0.02952	1.61824E6
0.02987	1.56762E6
0.03023	1.58067E6
0.03058	1.5946E6
0.03094	1.50899E6
0.0313	1.48059E6
0.03165	1.45697E6
0.03201	1.51474E6
0.03236	2.23174E6
0.03272	2.70823E6
0.03307	2.77141E6
0.03343	2.59763E6
0.03378	2.18325E6
0.03414	1.74078E6
0.0345	1.53305E6
0.03485	1.29279E6
0.03521	1.37758E6
0.03556	1.40989E6
0.03592	1.53596E6
0.03627	1.4807E6
0.03663	1.42477E6
0.03699	1.56189E6
0.03734	1.50359E6
0.0377	1.61426E6
0.03805	1.62874E6
0.03876	1.83565E6
0.04268	1.68361E6
0.04339	1.66437E6
0.0441	1.82231E6
0.04481	1.72472E6
0.04552	1.76823E6
0.04623	1.64138E6
0.04694	1.73549E6
0.04765	1.7003E6
0.04837	1.63339E6
0.04908	1.70977E6
0.04979	1.36578E6
0.0505	1.6007E6
0.05121	1.53811E6
0.05192	1.48439E6
0.05263	1.37503E6
0.05334	1.25941E6
0.05406	1.24245E6
0.0569	985805.06759
0.05761	934585.49851
0.05832	893688.3094
0.05903	857420.67753
0.05975	792772.08722
0.06046	696081.90152
0.06117	742274.76035
0.06188	633087.77785
0.06259	674648.27549
0.0633	612561.63741
0.06401	548431.81251
0.06472	590443.08175
0.06544	574261.5301
0.06615	515796.86116
0.06686	480274.09677
0.06757	533093.80045
0.06828	566990.21633
0.06899	558532.95109
0.0697	529164.94317
0.07041	493266.41842
0.07113	546877.77563
0.07184	575738.49784
0.07255	612125.09683
0.07326	617278.3763
0.07397	621610.83236
0.07468	589456.00373
0.07539	609106.55559
0.0761	702154.59508
0.07682	685508.08193
0.07753	678756.0884
0.07824	657411.04317
0.07113	539218.32183
0.07255	602420.77337
0.07397	622203.17018
0.07539	643408.88635
0.07682	650255.71611
0.07824	644320.88606
0.07966	620860.79523
0.08108	623138.51037
0.0825	558670.99257
0.08393	547083.92785
0.08535	507899.99101
0.08677	448850.64745
0.08819	418334.4083
0.08962	348667.45348
0.09104	338039.40572
0.09246	292115.2077
0.09602	194983.12951
0.09957	126244.81619
0.10313	101576.71284
0.10669	73550.84769
0.1138	-13409.47747
0.12091	-12415.28464
0.12802	-11504.26844
0.13513	-11417.08219
0.14225	-10469.17901
0.14936	-11961.13815
0.15647	-13475.98933
0.16358	-14447.35808
0.17069	-14528.58512
0.1778	-14022.1524
0.18491	-15820.20477
0.19202	-17711.61562
0.19913	-19145.44204
0.20624	-19859.35048
