      Wavelength,  spectrum,    dark current
      1.50392      5805.00      5817.47
      1.50412      5812.00      5814.47
      1.50431      5821.00      5856.47
      1.50451      5869.00      5852.47
      1.50470      5810.00      5805.47
      1.50490      5735.00      5784.47
      1.50509      5820.00      5827.47
      1.50529      5739.00      5766.47
      1.50549      5775.00      5824.47
      1.50568      5704.00      5737.47
      1.50588      5787.00      5807.47
      1.50607      5770.00      5769.47
      1.50627      5937.00      5821.47
      1.50646      5949.00      5761.47
      1.50666      5952.00      5801.47
      1.50685      5939.00      5787.47
      1.50705      5898.00      5749.47
      1.50724      5937.00      5771.47
      1.50744      5880.00      5698.47
      1.50763      5887.00      5710.47
      1.50783      5957.00      5788.47
      1.50802      5890.00      5721.47
      1.50822      5924.00      5777.47
      1.50841      5901.00      5749.47
      1.50861      5909.00      5806.47
      1.50880      5801.00      5658.47
      1.50900      5804.00      5680.47
      1.50919      5849.00      5755.47
      1.50939      5767.00      5655.47
      1.50958      5812.00      5744.47
      1.50978      5810.00      5696.47
      1.50997      5753.00      5669.47
      1.51017      5822.00      5759.47
      1.51036      5685.00      5650.47
      1.51056      5682.00      5648.47
      1.51075      5713.00      5688.47
      1.51094      5787.00      5745.47
      1.51114      5706.00      5692.47
      1.51133      5703.00      5680.47
      1.51153      5721.00      5700.47
      1.51172      5645.00      5628.47
      1.51192      5664.00      5690.47
      1.51211      5708.00      5695.47
      1.51231      5688.00      5712.47
      1.51250      5708.00      5697.47
      1.51270      5638.00      5603.47
      1.51289      5669.00      5623.47
      1.51308      5687.00      5684.47
      1.51328      5632.00      5620.47
      1.51347      5719.00      5670.47
      1.51367      5644.00      5627.47
      1.51386      5666.00      5680.47
      1.51406      5701.00      5733.47
      1.51425      5644.00      5613.47
      1.51444      5689.00      5671.47
      1.51464      5716.00      5705.47
      1.51483      5658.00      5666.47
      1.51503      5551.00      5557.47
      1.51522      5645.00      5649.47
      1.51541      5638.00      5669.47
      1.51561      5676.00      5686.47
      1.51580      5625.00      5601.47
      1.51600      5652.00      5655.47
      1.51619      5648.00      5641.47
      1.51638      5693.00      5671.47
      1.51658      5642.00      5634.47
      1.51677      5681.00      5637.47
      1.51696      5645.00      5664.47
