      Wavelength,  spectrum,    dark current
      1.50392      5794.00      5788.74
      1.50412      5834.00      5783.74
      1.50431      5794.00      5805.74
      1.50451      5970.00      5943.74
      1.50470      5836.00      5786.74
      1.50490      5761.00      5747.74
      1.50509      5929.00      5888.74
      1.50529      5750.00      5702.74
      1.50549      5877.00      5801.74
      1.50568      5866.00      5768.74
      1.50588      5912.00      5772.74
      1.50607      6037.00      5837.74
      1.50627      6033.00      5782.74
      1.50646      6023.00      5712.74
      1.50666      6096.00      5775.74
      1.50685      6162.00      5785.74
      1.50705      6243.00      5814.74
      1.50724      6191.00      5730.74
      1.50744      6116.00      5747.74
      1.50763      6160.00      5754.74
      1.50783      6097.00      5698.74
      1.50802      6136.00      5772.74
      1.50822      6061.00      5728.74
      1.50841      6126.00      5777.74
      1.50861      6122.00      5772.74
      1.50880      5990.00      5652.74
      1.50900      5950.00      5685.74
      1.50919      6039.00      5762.74
      1.50939      5800.00      5567.74
      1.50958      6032.00      5799.74
      1.50978      5933.00      5731.74
      1.50997      5827.00      5656.74
      1.51017      5869.00      5699.74
      1.51036      5819.00      5692.74
      1.51056      5782.00      5683.74
      1.51075      5787.00      5697.74
      1.51094      5831.00      5702.74
      1.51114      5831.00      5748.74
      1.51133      5735.00      5635.74
      1.51153      5830.00      5724.74
      1.51172      5665.00      5584.74
      1.51192      5704.00      5646.74
      1.51211      5751.00      5684.74
      1.51231      5773.00      5733.74
      1.51250      5753.00      5677.74
      1.51270      5701.00      5627.74
      1.51289      5706.00      5653.74
      1.51308      5726.00      5645.74
      1.51328      5638.00      5592.74
      1.51347      5843.00      5787.74
      1.51367      5599.00      5526.74
      1.51386      5762.00      5680.74
      1.51406      5755.00      5713.74
      1.51425      5709.00      5651.74
      1.51444      5741.00      5701.74
      1.51464      5821.00      5757.74
      1.51483      5653.00      5604.74
      1.51503      5673.00      5590.74
      1.51522      5719.00      5671.74
      1.51541      5670.00      5617.74
      1.51561      5764.00      5741.74
      1.51580      5623.00      5563.74
      1.51600      5707.00      5645.74
      1.51619      5718.00      5666.74
      1.51638      5733.00      5673.74
      1.51658      5744.00      5685.74
      1.51677      5669.00      5613.74
      1.51696      5705.00      5622.74
      1.51716      5554.00      5502.74
      1.51735      5765.00      5718.74
      1.51755      5730.00      5684.74
      1.51774      5684.00      5619.74
      1.51793      5703.00      5636.74
      1.51813      5742.00      5725.74
      1.51832      5775.00      5725.74
      1.51851      5708.00      5661.74
      1.51871      5789.00      5738.74
      1.51890      5736.00      5671.74
      1.51909      5702.00      5636.74
      1.51929      5830.00      5742.74
      1.51948      5760.00      5692.74
      1.51967      5834.00      5724.74
